status,gasDayStartedOn,gasInStorage,full,trend,injection,withdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,info
C,01/01/2011,"11059,5","60,63","-0,23",0,120,18240,"336,96","485,52",character(0)
C,02/01/2011,"10922,7","59,88","-0,75",0,120,18240,"336,96","485,52",character(0)
C,03/01/2011,"10770,8","59,05","-0,83",0,120,18240,"336,96","485,52",character(0)
C,04/01/2011,"10613,7","58,19","-0,86",0,"118,32",18240,"336,96","485,52",character(0)
C,05/01/2011,"10495,4","57,54","-0,65",0,"110,23",18240,"336,96","485,52",character(0)
C,06/01/2011,"10385,2","56,94","-0,6","3,8",0,18240,"336,96","485,52",character(0)
C,07/01/2011,"10388,9","56,96","0,02","3,26","0,48",18240,"336,96","485,52",character(0)
C,08/01/2011,"10391,7","56,97","0,02",0,120,18240,"336,96","485,52",character(0)
C,09/01/2011,"10220,9","56,04","-0,94","0,54","120,54",18240,"336,96","485,52",character(0)
C,10/01/2011,10047,"55,08","-0,95",0,"112,81",18240,"336,96","485,52",character(0)
C,11/01/2011,"9934,2","54,46","-0,62","9,89","32,58",18240,"336,96","485,52",character(0)
C,12/01/2011,"9911,5","54,34","-0,12","20,32","9,09",18240,"336,96","485,52",character(0)
C,13/01/2011,"9922,8","54,4","0,06","34,11",0,18240,"336,96","485,52",character(0)
C,14/01/2011,"9957,5","54,59","0,19","14,2","0,060000000000001",18240,"336,96","485,52",character(0)
C,15/01/2011,"9971,7","54,67","0,08",0,"100,11",18240,"336,96","485,52",character(0)
C,16/01/2011,"9871,6","54,12","-0,55","0,73","61,71",18240,"336,96","485,52",character(0)
C,17/01/2011,"9810,6","53,79","-0,33",0,120,18240,"336,96","485,52",character(0)
C,18/01/2011,"9635,2","52,82","-0,96",0,120,18240,"336,96","485,52",character(0)
C,19/01/2011,"9446,6","51,79","-1,03",0,120,18240,"336,96","485,52",character(0)
C,20/01/2011,"9287,6","50,92","-0,87",0,"77,37",18240,"336,96","485,52",character(0)
C,21/01/2011,"9205,7","50,47","-0,42",0,"72,37",18240,"336,96","485,52",character(0)
C,22/01/2011,"9133,4","50,07","-0,4","1,1","90,17",18240,"336,96","485,52",character(0)
C,23/01/2011,"9044,3","49,58","-0,49",0,"96,77",18240,"336,96","485,52",character(0)
C,24/01/2011,"8947,5","49,05","-0,53",0,120,18240,"336,96","485,52",character(0)
C,25/01/2011,"8820,5","48,36","-0,7",0,"118,48",18240,"336,96","485,52",character(0)
C,26/01/2011,8702,"47,71","-0,65",0,120,18240,"336,96","485,52",character(0)
C,27/01/2011,"8542,3","46,83","-0,88",0,"102,91",18240,"336,96","485,52",character(0)
C,28/01/2011,"8439,4","46,27","-0,56",0,120,18240,"336,96","485,52",character(0)
C,29/01/2011,"8291,8","45,46","-0,81",0,120,18240,"336,96","485,52",character(0)
C,30/01/2011,"8070,9","44,25","-1,21",0,120,18240,"336,96","485,52",character(0)
C,31/01/2011,"7927,6","43,46","-0,79","0,17","110,08",18240,"336,96","485,52",character(0)
C,01/02/2011,"7817,7","42,86","-0,6",0,"118,76",18240,"336,96","485,52",character(0)
C,02/02/2011,"7698,9","42,21","-0,65",0,"71,61",18240,"336,96","485,52",character(0)
C,03/02/2011,"7627,3","41,82","-0,39","0,24","14,24",18240,"336,96","485,52",character(0)
C,04/02/2011,"7617,4","41,76","-0,05",0,14,18240,"336,96","485,52",character(0)
C,05/02/2011,"7615,4","41,75","-0,01","0,87","68,52",18240,"336,96","485,52",character(0)
C,06/02/2011,"7547,7","41,38","-0,37","3,24","73,11",18240,"336,96","485,52",character(0)
C,07/02/2011,"7477,9",41,"-0,38",0,"118,42",18240,"336,96","485,52",character(0)
C,08/02/2011,"7359,4","40,35","-0,65","0,45","97,74",18240,"336,96","485,52",character(0)
C,09/02/2011,"7262,1","39,81","-0,53","0,82","102,65",18240,"336,96","485,52",character(0)
C,10/02/2011,"7160,3","39,26","-0,56","3,43","33,77",18240,"336,96","485,52",character(0)
C,11/02/2011,7130,"39,09","-0,17","5,45","3,58",18240,"336,96","485,52",character(0)
C,12/02/2011,"7131,9","39,1","0,01",0,"32,75",18240,"336,96","485,52",character(0)
C,13/02/2011,"7099,1","38,92","-0,18",0,"74,19",18240,"336,96","485,52",character(0)
C,14/02/2011,"7024,9","38,51","-0,41",0,76,18240,"336,96","485,52",character(0)
C,15/02/2011,"6948,9","38,1","-0,42",0,"90,2",18240,"336,96","485,52",character(0)
C,16/02/2011,"6858,7","37,6","-0,49",0,"106,69",18240,"336,96","485,52",character(0)
C,17/02/2011,6752,"37,02","-0,58","4,43","25,98",18240,"336,96","485,52",character(0)
C,18/02/2011,"6727,1","36,88","-0,12",0,"91,08",18240,"336,96","485,52",character(0)
C,19/02/2011,6636,"36,38","-0,5",0,120,18240,"336,96","485,52",character(0)
C,20/02/2011,"6512,5","35,7","-0,68",0,"91,62",18240,"336,96","485,52",character(0)
C,21/02/2011,"6420,9","35,2","-0,5",0,"103,73",18240,"336,96","485,52",character(0)
C,22/02/2011,"6317,2","34,63","-0,57",0,"102,16",18240,"336,96","485,52",character(0)
C,23/02/2011,6215,"34,07","-0,56","31,89","31,64",18240,"336,96","485,52",character(0)
C,24/02/2011,"6215,3","34,08",0,"62,37","0,020000000000003",18240,"336,96","485,52",character(0)
C,25/02/2011,"6277,6","34,42","0,34","80,98",0,18240,"336,96","485,52",character(0)
C,26/02/2011,"6358,6","34,86","0,44","60,31",0,18240,"336,96","485,52",character(0)
C,27/02/2011,"6417,9","35,19","0,33","63,89",0,18240,"336,96","485,52",character(0)
C,28/02/2011,"6481,8","35,54","0,35","70,79",0,18240,"336,96","485,52",character(0)
C,01/03/2011,"6552,5","35,92","0,39","53,61",0,18240,"336,96","485,52",character(0)
C,02/03/2011,"6606,9","36,22","0,29","60,42","0,329999999999998",18240,"336,96","485,52",character(0)
C,03/03/2011,6667,"36,55","0,33","49,31","1,08",18240,"336,96","485,52",character(0)
C,04/03/2011,"6715,2","36,82","0,26","42,87",0,18240,"336,96","485,52",character(0)
C,05/03/2011,6758,"37,05","0,24","38,05","3,8",18240,"336,96","485,52",character(0)
C,06/03/2011,"6792,3","37,24","0,19","61,05","3,17",18240,"336,96","485,52",character(0)
C,07/03/2011,"6850,2","37,56","0,32","56,97",0,18240,"336,96","485,52",character(0)
C,08/03/2011,"6907,2","37,87","0,31","58,06",0,18240,"336,96","485,52",character(0)
C,09/03/2011,"6965,2","38,19","0,32","46,86","1,69",18240,"336,96","485,52",character(0)
C,10/03/2011,"7010,4","38,43","0,25","82,6",0,18240,"336,96","485,52",character(0)
C,11/03/2011,"7095,1","38,9","0,45","88,72",0,18240,"336,96","485,52",character(0)
C,12/03/2011,"7183,8","39,38","0,49","83,59",0,18240,"336,96","485,52",character(0)
C,13/03/2011,"7267,4","39,84","0,46","97,53",0,18240,"336,96","485,52",character(0)
C,14/03/2011,"7364,9","40,38","0,53","77,56",0,18240,"336,96","485,52",character(0)
C,15/03/2011,"7442,5","40,8","0,43","49,42",0,18240,"336,96","485,52",character(0)
C,16/03/2011,"7491,9","41,07","0,27","39,09","1,59",18240,"336,96","485,52",character(0)
C,17/03/2011,"7529,4","41,28","0,21","48,9",0,18240,"336,96","485,52",character(0)
C,18/03/2011,"7578,3","41,55","0,27","34,75",0,18240,"336,96","485,52",character(0)
C,19/03/2011,7613,"41,74","0,19","35,06","5,88",18240,"336,96","485,52",character(0)
