status,gasDayStartedOn,gasInStorage,full,trend,injection,withdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,info
C,01/01/2011,"2990,4","62,72","-0,57",0,"35,52",4768,"53,76","80,64",character(0)
C,02/01/2011,"2954,9","61,97","-0,74",0,"37,06",4768,"53,76","80,64",character(0)
C,03/01/2011,"2917,8","61,2","-0,78",0,40,4768,"53,76","80,64",character(0)
C,04/01/2011,"2877,6","60,35","-0,84",0,40,4768,"53,76","80,64",character(0)
C,05/01/2011,2837,"59,5","-0,85",0,"38,97",4768,"53,76","80,64",character(0)
C,06/01/2011,2798,"58,68","-0,82","2,89",0,4768,"53,76","80,64",character(0)
C,07/01/2011,"2800,9","58,74","0,06","0,45",0,4768,"53,76","80,64",character(0)
C,08/01/2011,"2801,3","58,75","0,01",0,40,4768,"53,76","80,64",character(0)
C,09/01/2011,2761,"57,91","-0,85",0,40,4768,"53,76","80,64",character(0)
C,10/01/2011,"2720,3","57,05","-0,85",0,40,4768,"53,76","80,64",character(0)
C,11/01/2011,"2679,6","56,2","-0,85",0,40,4768,"53,76","80,64",character(0)
C,12/01/2011,"2639,6","55,36","-0,84",0,"37,12",4768,"53,76","80,64",character(0)
C,13/01/2011,"2602,5","54,58","-0,78",0,0,4768,"53,76","80,64",character(0)
C,14/01/2011,"2602,5","54,58",0,0,0,4768,"53,76","80,64",character(0)
C,15/01/2011,"2602,5","54,58",0,0,40,4768,"53,76","80,64",character(0)
C,16/01/2011,"2562,1","53,74","-0,85",0,40,4768,"53,76","80,64",character(0)
C,17/01/2011,"2521,6","52,89","-0,85",0,40,4768,"53,76","80,64",character(0)
C,18/01/2011,2481,"52,03","-0,85",0,40,4768,"53,76","80,64",character(0)
C,19/01/2011,"2440,5","51,18","-0,85",0,40,4768,"53,76","80,64",character(0)
C,20/01/2011,2400,"50,34","-0,85",0,40,4768,"53,76","80,64",character(0)
C,21/01/2011,"2359,4","49,48","-0,85",0,40,4768,"53,76","80,64",character(0)
C,22/01/2011,"2318,9","48,63","-0,85",0,40,4768,"53,76","80,64",character(0)
C,23/01/2011,"2278,4","47,79","-0,85",0,40,4768,"53,76","80,64",character(0)
C,24/01/2011,"2237,9","46,94","-0,85",0,40,4768,"53,76","80,64",character(0)
C,25/01/2011,"2197,4","46,09","-0,85",0,40,4768,"53,76","80,64",character(0)
C,26/01/2011,"2156,9","45,24","-0,85",0,40,4768,"53,76","80,64",character(0)
C,27/01/2011,"2116,4","44,39","-0,85",0,40,4768,"53,76","80,64",character(0)
C,28/01/2011,"2075,8","43,54","-0,85",0,40,4768,"53,76","80,64",character(0)
C,29/01/2011,"2035,3","42,69","-0,85",0,40,4768,"53,76","80,64",character(0)
C,30/01/2011,"1994,9","41,84","-0,85",0,40,4768,"53,76","80,64",character(0)
C,31/01/2011,"1954,4","40,99","-0,85",0,40,4768,"53,76","80,64",character(0)
C,01/02/2011,"1913,9","40,14","-0,85",0,40,4768,"53,76","80,64",character(0)
C,02/02/2011,"1873,4","39,29","-0,85",0,40,4768,"53,76","80,64",character(0)
C,03/02/2011,"1833,1","38,45","-0,85",0,0,4768,"53,76","80,64",character(0)
C,04/02/2011,"1833,1","38,45",0,0,0,4768,"53,76","80,64",character(0)
C,05/02/2011,"1833,1","38,45",0,0,0,4768,"53,76","80,64",character(0)
C,06/02/2011,"1833,1","38,45",0,0,"23,65",4768,"53,76","80,64",character(0)
C,07/02/2011,"1809,4","37,95","-0,5",0,40,4768,"53,76","80,64",character(0)
C,08/02/2011,"1768,6","37,09","-0,86",0,40,4768,"53,76","80,64",character(0)
C,09/02/2011,"1727,8","36,24","-0,86",0,40,4768,"53,76","80,64",character(0)
C,10/02/2011,"1687,1","35,38","-0,86",0,10,4768,"53,76","80,64",character(0)
C,11/02/2011,"1678,7","35,21","-0,17",0,"12,68",4768,"53,76","80,64",character(0)
C,12/02/2011,1666,"34,94","-0,27",0,40,4768,"53,76","80,64",character(0)
C,13/02/2011,"1625,7","34,1","-0,85",0,40,4768,"53,76","80,64",character(0)
C,14/02/2011,"1585,2","33,25","-0,85",0,40,4768,"53,76","80,64",character(0)
