status,gasDayStartedOn,gasInStorage,full,trend,injection,withdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,info
C,01/01/2011,"9822,5","61,39","0,25",0,"6,38",16000,"213,12","319,68",character(0)
C,02/01/2011,"9816,1","61,35","-0,04",0,45,16000,"213,12","319,68",character(0)
C,03/01/2011,9726,"60,79","-0,56",0,45,16000,"213,12","319,68",character(0)
C,04/01/2011,"9638,2","60,24","-0,55",0,45,16000,"213,12","319,68",character(0)
C,05/01/2011,"9572,1","59,83","-0,41",0,"30,81",16000,"213,12","319,68",character(0)
C,06/01/2011,"9541,3","59,63","-0,19",0,5,16000,"213,12","319,68",character(0)
C,07/01/2011,"9540,8","59,63",0,"98,73",0,16000,"213,12","319,68",character(0)
C,08/01/2011,"9639,5","60,25","0,62","60,92",0,16000,"213,12","319,68",character(0)
C,09/01/2011,"9700,4","60,63","0,38","0,93","21,88",16000,"213,12","319,68",character(0)
C,10/01/2011,"9679,5","60,5","-0,13","0,05","27,65",16000,"213,12","319,68",character(0)
C,11/01/2011,"9651,8","60,32","-0,17","1,13",0,16000,"213,12","319,68",character(0)
C,12/01/2011,9653,"60,33","0,01","1,19",0,16000,"213,12","319,68",character(0)
C,13/01/2011,"9654,2","60,34","0,01","47,66",0,16000,"213,12","319,68",character(0)
C,14/01/2011,"9701,8","60,64","0,3","99,98",0,16000,"213,12","319,68",character(0)
C,15/01/2011,"9806,2","61,29","0,62","48,99",0,16000,"213,12","319,68",character(0)
C,16/01/2011,"9855,2","61,6","0,31",0,"13,75",16000,"213,12","319,68",character(0)
C,17/01/2011,"9841,4","61,51","-0,09","1,64",0,16000,"213,12","319,68",character(0)
C,18/01/2011,9843,"61,52","0,01",0,5,16000,"213,12","319,68",character(0)
C,19/01/2011,"9840,7","61,5","-0,01",0,45,16000,"213,12","319,68",character(0)
C,20/01/2011,9783,"61,14","-0,36",0,45,16000,"213,12","319,68",character(0)
C,21/01/2011,"9693,3","60,58","-0,56",0,"28,74",16000,"213,12","319,68",character(0)
C,22/01/2011,"9663,5","60,4","-0,18","0,01","36,34",16000,"213,12","319,68",character(0)
C,23/01/2011,"9627,1","60,17","-0,23",0,45,16000,"213,12","319,68",character(0)
C,24/01/2011,"9524,6","59,53","-0,64",0,45,16000,"213,12","319,68",character(0)
C,25/01/2011,9429,"58,93","-0,6",0,45,16000,"213,12","319,68",character(0)
C,26/01/2011,"9315,4","58,22","-0,71",0,45,16000,"213,12","319,68",character(0)
C,27/01/2011,"9189,8","57,44","-0,78",0,45,16000,"213,12","319,68",character(0)
C,28/01/2011,"9033,8","56,46","-0,98",0,45,16000,"213,12","319,68",character(0)
C,29/01/2011,"8931,7","55,82","-0,64",0,45,16000,"213,12","319,68",character(0)
C,30/01/2011,"8835,8","55,22","-0,6",0,45,16000,"213,12","319,68",character(0)
C,31/01/2011,"8685,6","54,28","-0,94",0,45,16000,"213,12","319,68",character(0)
C,01/02/2011,"8553,9","53,46","-0,82",0,45,16000,"213,12","319,68",character(0)
C,02/02/2011,"8464,9","52,91","-0,56",0,45,16000,"213,12","319,68",character(0)
C,03/02/2011,"8406,2","52,54","-0,37",0,5,16000,"213,12","319,68",character(0)
C,04/02/2011,"8401,7","52,51","-0,03","23,61","1,09",16000,"213,12","319,68",character(0)
C,05/02/2011,"8424,2","52,65","0,14","30,87",0,16000,"213,12","319,68",character(0)
C,06/02/2011,8455,"52,84","0,19","2,63","7,63",16000,"213,12","319,68",character(0)
C,07/02/2011,"8454,2","52,84","-0,01",0,"14,98",16000,"213,12","319,68",character(0)
C,08/02/2011,"8439,2","52,74","-0,09",0,"14,71",16000,"213,12","319,68",character(0)
C,09/02/2011,"8424,5","52,65","-0,09",0,"14,18",16000,"213,12","319,68",character(0)
C,10/02/2011,"8410,3","52,56","-0,09",0,5,16000,"213,12","319,68",character(0)
C,11/02/2011,"8409,2","52,56","-0,01","5,11","1,31",16000,"213,12","319,68",character(0)
C,12/02/2011,8413,"52,58","0,02","19,7","0,629999999999999",16000,"213,12","319,68",character(0)
C,13/02/2011,8432,"52,7","0,12",0,5,16000,"213,12","319,68",character(0)
C,14/02/2011,"8427,8","52,67","-0,03",0,5,16000,"213,12","319,68",character(0)
C,15/02/2011,"8424,4","52,65","-0,02",0,5,16000,"213,12","319,68",character(0)
C,16/02/2011,"8419,5","52,62","-0,03",0,5,16000,"213,12","319,68",character(0)
C,17/02/2011,"8417,6","52,61","-0,01",0,5,16000,"213,12","319,68",character(0)
C,18/02/2011,8417,"52,61",0,0,5,16000,"213,12","319,68",character(0)
C,19/02/2011,"8416,6","52,6",0,"0,29","5,29",16000,"213,12","319,68",character(0)
C,20/02/2011,"8415,5","52,6","-0,01",0,45,16000,"213,12","319,68",character(0)
C,21/02/2011,"8296,9","51,86","-0,74",0,45,16000,"213,12","319,68",character(0)
C,22/02/2011,"8131,9","50,82","-1,03",0,45,16000,"213,12","319,68",character(0)
C,23/02/2011,"7955,8","49,72","-1,1",0,45,16000,"213,12","319,68",character(0)
C,24/02/2011,"7817,1","48,86","-0,87",0,45,16000,"213,12","319,68",character(0)
C,25/02/2011,"7687,2","48,05","-0,81",0,"28,09",16000,"213,12","319,68",character(0)
C,26/02/2011,"7659,1","47,87","-0,18","8,33","1,1",16000,"213,12","319,68",character(0)
C,27/02/2011,"7666,3","47,91","0,05",0,45,16000,"213,12","319,68",character(0)
C,28/02/2011,7534,"47,09","-0,81",0,45,16000,"213,12","319,68",character(0)
C,01/03/2011,"7456,3","46,6","-0,49","0,03","45,03",16000,"213,12","319,68",character(0)
C,02/03/2011,"7390,9","46,19","-0,41",0,45,16000,"213,12","319,68",character(0)
C,03/03/2011,"7279,5","45,5","-0,67",0,45,16000,"213,12","319,68",character(0)
C,04/03/2011,"7193,6","44,96","-0,54",0,"22,02",16000,"213,12","319,68",character(0)
C,05/03/2011,"7171,6","44,82","-0,14",0,45,16000,"213,12","319,68",character(0)
C,06/03/2011,"7113,9","44,46","-0,36",0,45,16000,"213,12","319,68",character(0)
C,07/03/2011,"6945,7","43,41","-1,05",0,45,16000,"213,12","319,68",character(0)
C,08/03/2011,"6829,8","42,69","-0,72","2,83","26,58",16000,"213,12","319,68",character(0)
C,09/03/2011,6806,"42,54","-0,15",0,"13,37",16000,"213,12","319,68",character(0)
C,10/03/2011,"6792,6","42,45","-0,08",0,"33,48",16000,"213,12","319,68",character(0)
C,11/03/2011,"6759,2","42,24","-0,21","45,32",0,16000,"213,12","319,68",character(0)
C,12/03/2011,"6807,2","42,55","0,28","60,44",0,16000,"213,12","319,68",character(0)
C,13/03/2011,"6867,6","42,92","0,38","23,04","2,62",16000,"213,12","319,68",character(0)
C,14/03/2011,6888,"43,05","0,13","56,45",0,16000,"213,12","319,68",character(0)
C,15/03/2011,"6944,5","43,4","0,35","9,36","1,76",16000,"213,12","319,68",character(0)
C,16/03/2011,"6952,1","43,45","0,05",0,45,16000,"213,12","319,68",character(0)
C,17/03/2011,"6861,5","42,88","-0,57",0,45,16000,"213,12","319,68",character(0)
C,18/03/2011,"6779,1","42,37","-0,52","7,09","5,12",16000,"213,12","319,68",character(0)
C,19/03/2011,6781,"42,38","0,01",0,"9,28",16000,"213,12","319,68",character(0)
C,20/03/2011,"6771,8","42,32","-0,06",0,45,16000,"213,12","319,68",character(0)
C,21/03/2011,"6665,8","41,66","-0,66","2,04","31,49",16000,"213,12","319,68",character(0)
C,22/03/2011,"6634,3","41,46","-0,18","9,97","16,68",16000,"213,12","319,68",character(0)
C,23/03/2011,"6627,6","41,42","-0,04","57,75",0,16000,"213,12","319,68",character(0)
C,24/03/2011,"6685,3","41,78","0,36","45,24",0,16000,"213,12","319,68",character(0)
C,25/03/2011,"6730,6","42,07","0,28","37,22","0,200000000000003",16000,"213,12","319,68",character(0)
C,26/03/2011,"6770,9","42,32","0,23","43,75",0,16000,"213,12","319,68",character(0)
C,27/03/2011,"6814,7","42,59","0,27",0,"10,13",16000,"213,12","319,68",character(0)
C,28/03/2011,"6804,5","42,53","-0,06","35,82","1,65",16000,"213,12","319,68",character(0)
C,29/03/2011,"6838,7","42,74","0,21","26,51","2,86",16000,"213,12","319,68",character(0)
C,30/03/2011,"6862,4","42,89","0,15","145,21",0,16000,"213,12","319,68",character(0)
C,31/03/2011,"7007,6","43,8","0,91","51,03",0,16000,"213,12","319,68",character(0)
